date,pm25,pm10,o3,no2,so2,co
7/2/2022,42,12,22,2,1,3
7/3/2022,22,20,13,0,1,1
7/4/2022,20,19,18,1,1,1
7/5/2022,31,17,14,1,1,1
7/6/2022,28,9,14,1,1,1
7/7/2022,16,10,15,2,2,2
7/8/2022,22,13,13,2,1,1
7/9/2022,28,11,12,2,2,1
7/10/2022,17,11,15,3,1,1
7/11/2022,20,14,18,3,2,1
7/12/2022,26,13,19,4,2,1
7/13/2022,26,19,31,5,3,2
7/14/2022,37,33,53,9,2,2
7/15/2022,55,42,45,10,2,3
7/16/2022,73,36,49,9,1,3
7/17/2022,66,30,42,5,2,2
7/18/2022,57,29,30,3,1,1
7/19/2022,50,19,18,4,2,2
7/20/2022,33,10,16,3,1,2
7/21/2022,28,22,33,5,1,2
7/22/2022,45,36,50,8,2,4
7/23/2022,67,37,58,7,1,3
7/24/2022,74,39,62,9,1,2
7/25/2022,79,33,45,7,0,1
7/26/2022,69,31,35,6,1,2
7/27/2022,59,0,0,0,0,0
6/2/2022,24,19,22,7,2,5
6/3/2022,29,15,20,7,1,4
6/4/2022,38,20,20,6,1,4
6/5/2022,27,25,22,6,1,3
6/6/2022,44,26,29,7,1,5
6/7/2022,48,21,37,11,1,6
6/8/2022,46,12,39,10,1,5
6/9/2022,33,20,30,12,1,6
6/10/2022,46,12,18,9,1,5
6/11/2022,55,10,29,8,1,4
6/12/2022,30,28,28,11,1,6
6/13/2022,51,19,16,8,1,5
6/14/2022,39,19,12,10,1,5
6/15/2022,49,19,17,13,1,5
6/16/2022,40,16,16,12,1,5
6/17/2022,33,15,39,9,5,8
6/18/2022,42,11,15,7,1,14
6/19/2022,27,19,12,7,1,3
6/20/2022,44,13,17,4,1,4
6/21/2022,34,14,15,1,1,4
6/22/2022,28,15,15,1,2,4
6/23/2022,23,17,25,1,2,4
6/24/2022,35,15,25,2,3,4
6/25/2022,33,11,18,2,2,4
6/26/2022,27,12,19,1,1,4
6/27/2022,24,10,22,1,2,4
6/28/2022,21,13,12,1,1,4
6/29/2022,14,16,14,1,1,4
6/30/2022,19,24,40,2,1,4
7/1/2022,36,24,26,2,1,4
5/2/2022,66,32,36,11,1,5
5/3/2022,82,26,58,12,2,3
5/4/2022,59,36,63,11,1,3
5/5/2022,58,42,62,12,2,3
5/6/2022,72,33,56,11,3,3
5/7/2022,59,37,51,14,3,3
5/8/2022,66,34,29,16,2,3
5/9/2022,67,30,26,15,1,3
5/10/2022,68,31,28,12,2,4
5/11/2022,76,18,30,10,1,3
5/12/2022,53,13,26,10,1,2
5/13/2022,33,5,25,7,1,3
5/14/2022,20,9,39,8,1,4
5/15/2022,25,6,39,9,1,4
5/16/2022,31,6,38,9,1,3
5/17/2022,21,24,61,11,2,3
5/18/2022,58,39,72,13,2,4
5/19/2022,67,44,45,12,2,4
5/20/2022,72,44,53,12,2,4
5/21/2022,77,44,28,14,2,4
5/22/2022,69,30,36,11,2,4
5/23/2022,55,30,44,11,2,5
5/24/2022,59,28,29,13,1,6
5/25/2022,60,16,30,11,1,5
5/26/2022,41,16,43,8,4,8
5/27/2022,45,21,36,10,1,5
5/28/2022,58,21,32,9,2,6
5/29/2022,59,8,14,6,1,3
5/30/2022,19,12,15,8,1,4
5/31/2022,18,16,15,9,2,4
6/1/2022,23,16,19,8,1,4
4/2/2022,60,26,31,5,1,2
4/3/2022,51,37,48,7,3,2
4/4/2022,63,36,52,5,1,3
4/5/2022,55,39,46,9,2,3
4/6/2022,71,38,37,10,2,3
4/7/2022,77,33,58,5,2,2
4/8/2022,60,49,31,5,1,3
4/9/2022,64,46,48,6,1,3
4/10/2022,69,50,45,10,2,4
4/11/2022,96,50,51,10,2,4
4/12/2022,107,46,44,15,3,4
4/13/2022,126,24,50,16,11,13
4/14/2022,75,29,40,8,1,4
4/15/2022,58,28,41,3,1,3
4/16/2022,50,46,54,5,1,4
4/17/2022,63,46,52,7,2,4
4/18/2022,81,58,28,16,2,6
4/19/2022,123,43,32,11,2,6
4/20/2022,104,56,52,12,2,6
4/21/2022,118,53,50,11,2,6
4/22/2022,123,33,38,16,2,5
4/23/2022,81,21,17,12,1,3
4/24/2022,47,29,22,13,2,3
4/25/2022,64,17,13,9,2,3
4/26/2022,45,17,19,6,2,2
4/27/2022,48,29,32,10,2,3
4/28/2022,65,34,42,10,1,3
4/29/2022,72,29,38,10,2,3
4/30/2022,61,34,49,10,2,4
5/1/2022,54,32,37,11,1,4
3/2/2022,96,63,49,10,1,5
3/3/2022,137,56,69,9,1,6
3/4/2022,117,58,47,13,2,6
3/5/2022,113,47,35,15,1,6
3/6/2022,107,56,45,8,1,3
3/7/2022,69,46,25,9,1,4
3/8/2022,56,26,36,9,1,3
3/9/2022,58,37,40,10,1,1
3/10/2022,53,53,38,16,2,2
3/11/2022,90,55,54,16,3,3
3/12/2022,123,55,60,16,3,3
3/13/2022,122,42,40,14,2,3
3/14/2022,108,35,24,16,2,3
3/15/2022,75,45,42,11,2,3
3/16/2022,91,54,41,16,2,4
3/17/2022,116,41,25,13,2,3
3/18/2022,103,43,44,13,2,4
3/19/2022,98,31,48,7,1,3
3/20/2022,65,39,46,7,2,4
3/21/2022,80,33,28,7,1,4
3/22/2022,92,22,28,7,1,3
3/23/2022,55,14,28,6,1,4
3/24/2022,52,28,34,7,1,4
3/25/2022,85,31,15,17,1,6
3/26/2022,105,35,24,12,1,4
3/27/2022,112,27,41,5,1,5
3/28/2022,65,17,29,6,1,3
3/29/2022,46,12,43,5,1,3
3/30/2022,41,37,37,14,1,4
3/31/2022,100,34,43,9,1,3
4/1/2022,86,36,42,5,1,3
2/2/2022,68,5,32,1,0,2
2/3/2022,32,7,28,1,0,2
2/4/2022,25,6,22,1,1,2
2/5/2022,32,17,33,1,1,2
2/6/2022,57,34,37,1,1,0
2/7/2022,92,17,28,8,1,4
2/8/2022,56,15,30,3,1,4
2/9/2022,49,11,33,3,1,3
2/10/2022,44,27,28,6,1,4
2/11/2022,81,13,34,5,1,5
2/12/2022,47,31,37,8,1,6
2/13/2022,74,21,27,10,1,6
2/14/2022,62,16,33,5,1,6
2/15/2022,46,28,43,4,1,5
2/16/2022,62,45,42,5,1,5
2/17/2022,94,19,31,4,1,5
2/18/2022,42,9,26,4,1,3
2/19/2022,28,14,19,7,1,3
2/20/2022,46,13,29,3,0,2
2/21/2022,41,13,27,5,0,2
2/22/2022,34,3,29,3,0,2
2/23/2022,20,7,30,3,0,2
2/24/2022,23,23,39,4,1,2
2/25/2022,55,20,35,6,1,1
2/26/2022,49,32,38,12,1,3
2/27/2022,79,40,51,10,1,3
2/28/2022,91,48,63,10,1,4
3/1/2022,100,44,30,18,3,4
1/4/2022,109,38,37,12,1,5
1/5/2022,91,33,25,15,1,4
1/6/2022,85,45,23,14,1,5
1/7/2022,90,27,31,8,1,4
1/8/2022,51,31,33,8,1,4
1/9/2022,65,31,38,10,1,4
1/10/2022,91,41,39,10,2,6
1/11/2022,111,36,29,11,1,7
1/12/2022,83,48,33,7,1,5
1/13/2022,121,53,40,12,2,4
1/14/2022,135,59,40,8,2,5
1/15/2022,150,56,37,13,3,5
1/16/2022,135,49,32,13,1,5
1/17/2022,116,27,26,9,1,5
1/18/2022,57,14,26,7,1,3
1/19/2022,35,26,34,6,1,4
1/20/2022,59,33,32,5,0,4
1/21/2022,63,13,29,7,0,5
1/22/2022,47,8,17,12,0,6
1/23/2022,35,23,23,16,1,6
1/24/2022,68,20,25,8,1,1
1/25/2022,51,23,37,6,1,2
1/26/2022,63,25,35,6,1,2
1/27/2022,70,25,42,5,1,2
1/28/2022,70,14,33,3,1,1
1/29/2022,39,14,32,2,1,1
1/30/2022,41,14,25,2,1,1
1/31/2022,41,18,26,0,1,2
2/1/2022,52,26,32,1,1,1
10/2/2021,69,21,44,3,1,1
10/3/2021,62,28,46,5,1,1
10/4/2021,51,35,35,5,0,1
10/5/2021,55,40,35,6,3,1
10/6/2021,50,32,30,5,1,1
10/7/2021,53,21,27,4,1,1
10/8/2021,48,23,25,5,0,1
10/9/2021,36,38,27,4,0,1
10/10/2021,48,24,29,5,0,1
10/11/2021,33,34,23,4,0,0
10/12/2021,33,28,19,3,0,1
10/13/2021,33,23,28,4,0,2
10/14/2021,48,20,24,5,0,2
10/15/2021,38,29,32,4,1,2
10/16/2021,31,26,32,4,0,2
10/17/2021,41,32,38,3,0,2
10/18/2021,30,31,43,4,1,3
10/19/2021,48,32,55,6,1,3
10/20/2021,66,37,62,5,1,4
10/21/2021,86,30,23,11,1,5
10/22/2021,75,8,25,7,0,3
10/23/2021,15,25,33,6,0,3
10/24/2021,59,19,35,7,1,3
10/25/2021,45,26,43,6,1,2
10/26/2021,50,27,45,5,0,3
10/27/2021,52,35,48,7,1,3
10/28/2021,62,45,57,6,1,4
10/29/2021,80,49,59,7,2,4
10/30/2021,88,40,48,8,1,5
10/31/2021,82,54,76,7,1,5
11/1/2021,112,36,38,7,1,4
11/2/2021,82,36,36,8,1,5
11/3/2021,68,50,36,9,1,4
11/4/2021,96,42,47,7,1,3
11/5/2021,76,39,54,12,2,6
11/6/2021,98,35,40,11,2,5
11/7/2021,89,23,46,5,0,4
11/8/2021,43,20,21,9,0,4
11/9/2021,26,36,36,7,1,3
11/10/2021,53,40,39,11,2,3
11/11/2021,64,44,49,13,2,3
11/12/2021,74,42,54,7,1,3
11/13/2021,75,38,43,8,1,4
11/14/2021,83,36,43,9,2,4
11/15/2021,73,43,39,10,1,4
11/16/2021,79,45,33,12,1,5
11/17/2021,88,25,29,11,0,5
11/18/2021,60,42,24,16,3,7
11/19/2021,79,34,33,13,1,6
11/20/2021,69,38,39,8,1,5
11/21/2021,63,42,44,10,1,5
11/22/2021,72,26,29,9,0,6
11/23/2021,53,38,22,9,1,7
11/24/2021,71,47,41,9,1,5
11/25/2021,77,46,43,13,1,5
11/26/2021,90,46,37,11,1,3
11/27/2021,73,48,42,6,1,3
11/28/2021,72,23,31,7,0,4
11/29/2021,49,20,28,8,0,4
11/30/2021,50,41,30,14,1,5
12/1/2021,72,47,38,6,1,4
12/2/2021,75,49,40,9,1,4
12/3/2021,77,52,38,15,2,3
12/4/2021,93,49,47,6,2,3
12/5/2021,77,31,31,9,1,3
12/6/2021,60,40,29,14,3,4
12/7/2021,75,40,44,7,2,3
12/8/2021,66,36,42,5,1,4
12/9/2021,66,40,32,11,1,5
12/10/2021,70,38,34,9,2,4
12/11/2021,68,38,44,7,2,5
12/12/2021,81,57,43,13,2,6
12/13/2021,114,43,33,7,2,7
12/14/2021,90,30,36,6,1,6
12/15/2021,65,40,39,12,2,6
12/16/2021,75,48,33,16,2,8
12/17/2021,96,54,33,9,2,9
12/18/2021,82,63,37,7,2,7
12/19/2021,107,53,36,9,2,4
12/20/2021,91,30,27,16,1,4
12/21/2021,66,15,12,18,0,6
12/22/2021,57,33,26,12,1,6
12/23/2021,69,32,24,14,2,6
12/24/2021,66,58,2,32,3,10
12/25/2021,132,45,28,7,1,7
12/26/2021,84,32,17,10,2,6
12/27/2021,79,41,23,11,2,4
12/28/2021,100,29,25,12,2,4
12/29/2021,85,47,30,17,2,6
12/30/2021,130,38,32,9,2,5
12/31/2021,98,50,36,10,2,5
1/1/2022,123,33,37,9,1,4
1/2/2022,82,45,34,14,2,5
1/3/2022,106,44,42,11,2,6
7/2/2021,49,24,24,4,1,2
7/3/2021,51,23,26,5,1,2
7/4/2021,51,16,17,5,1,2
7/5/2021,36,19,27,7,1,2
7/6/2021,34,26,36,6,2,3
7/7/2021,60,13,21,5,1,3
7/8/2021,32,14,24,4,1,3
7/9/2021,27,17,25,6,2,3
7/10/2021,34,14,22,5,1,3
7/11/2021,33,13,17,4,1,2
7/12/2021,26,13,16,4,1,3
7/13/2021,20,11,14,5,1,4
7/14/2021,28,12,12,7,2,4
7/15/2021,24,16,29,7,1,4
7/16/2021,35,24,33,6,1,3
7/17/2021,43,20,31,5,1,3
7/18/2021,38,25,35,5,1,3
7/19/2021,43,24,38,6,2,3
7/20/2021,45,18,22,6,1,4
7/21/2021,37,31,27,8,1,4
7/22/2021,51,36,37,9,2,4
7/23/2021,57,21,36,8,1,3
7/24/2021,52,22,32,10,3,4
7/25/2021,50,33,46,9,3,4
7/26/2021,67,32,44,7,2,4
7/27/2021,70,44,56,7,3,5
7/28/2021,96,49,67,8,2,6
7/29/2021,116,37,39,8,2,6
7/30/2021,81,21,38,9,2,6
7/31/2021,53,21,29,8,3,5
8/1/2021,52,32,49,9,2,5
8/2/2021,63,25,50,9,1,6
8/3/2021,63,22,47,9,2,6
8/4/2021,55,15,29,4,1,4
8/5/2021,43,14,33,3,0,3
8/6/2021,28,10,25,6,0,5
8/7/2021,32,19,43,7,2,4
8/8/2021,44,30,43,7,2,6
8/9/2021,81,26,26,6,1,5
8/10/2021,61,0,0,0,0,0
8/21/2021,48,18,27,7,1,2
8/22/2021,48,17,26,6,1,2
8/23/2021,45,15,25,5,1,2
8/24/2021,35,13,16,6,2,2
8/25/2021,31,16,16,7,1,3
8/26/2021,40,18,15,7,2,4
8/27/2021,55,26,26,8,2,4
8/28/2021,72,32,39,9,3,4
8/29/2021,70,23,33,5,1,3
8/30/2021,44,23,28,6,1,3
8/31/2021,33,21,38,6,1,3
9/1/2021,37,26,37,6,1,3
9/2/2021,61,16,30,6,1,3
9/3/2021,41,17,26,8,1,3
9/4/2021,39,13,24,7,1,3
9/5/2021,29,25,47,7,1,4
9/6/2021,44,17,27,7,1,3
9/7/2021,36,21,32,10,2,4
9/8/2021,47,23,45,7,1,4
9/9/2021,49,23,34,9,1,4
9/10/2021,47,23,34,7,1,4
9/11/2021,37,21,20,6,0,3
9/12/2021,25,13,28,5,1,4
9/13/2021,28,25,47,8,1,5
