date,pm25,pm10,o3,no2,so2,co
7/27/2022,48,0,0,0,0,0
7/26/2022,65,19,27,6,2,5
7/25/2022,79,30,39,9,1,4
7/24/2022,76,38,63,9,2,4
7/23/2022,83,34,58,8,2,4
7/22/2022,53,33,45,8,2,4
7/21/2022,25,20,34,5,1,4
7/20/2022,32,12,13,3,1,3
7/19/2022,45,15,18,3,0,3
7/18/2022,55,25,28,4,0,2
7/17/2022,75,28,39,8,1,3
7/16/2022,75,40,49,13,2,4
7/15/2022,60,37,53,15,1,4
7/14/2022,36,30,54,12,2,4
7/13/2022,30,20,33,8,7,3
7/12/2022,34,20,19,5,17,3
7/11/2022,29,19,18,6,3,2
7/10/2022,19,14,17,4,2,1
7/9/2022,44,14,12,4,2,1
7/8/2022,20,16,15,5,2,2
7/7/2022,19,10,15,5,1,3
7/6/2022,36,7,15,3,0,2
7/5/2022,41,15,14,2,0,0
7/4/2022,34,14,18,1,0,2
7/3/2022,13,13,14,2,0,0
7/2/2022,29,12,27,2,0,2
7/1/2022,49,16,23,3,1,1
6/30/2022,23,25,49,5,2,2
6/29/2022,32,16,13,3,1,1
6/28/2022,30,12,12,4,2,2
6/27/2022,37,12,22,5,2,2
6/26/2022,25,15,18,4,2,2
6/25/2022,38,11,18,4,1,1
6/24/2022,46,16,31,4,2,1
6/23/2022,34,15,29,4,2,1
6/22/2022,29,14,15,5,2,1
6/21/2022,21,16,18,5,2,1
6/20/2022,44,15,21,6,2,1
6/19/2022,28,17,48,7,14,35
6/18/2022,46,16,16,8,1,1
6/17/2022,46,14,12,15,1,1
6/16/2022,38,13,16,18,2,1
6/15/2022,47,13,19,17,2,1
6/14/2022,40,19,9,15,2,1
6/13/2022,65,21,16,13,2,2
6/12/2022,22,18,32,12,1,2
6/11/2022,35,14,29,9,0,2
6/10/2022,53,12,17,9,0,4
6/9/2022,34,15,32,12,0,4
6/8/2022,49,9,41,9,0,3
6/7/2022,53,11,34,11,0,3
6/6/2022,48,21,28,10,1,2
6/5/2022,30,23,24,6,0,8
6/4/2022,43,17,22,5,0,1
6/3/2022,43,18,22,8,1,3
6/2/2022,32,21,24,7,0,2
6/1/2022,28,17,22,8,1,2
5/31/2022,26,11,15,7,0,0
5/30/2022,22,15,16,7,0,2
5/29/2022,66,16,17,3,0,9
5/28/2022,57,15,40,6,1,4
5/27/2022,40,16,40,3,0,4
5/26/2022,48,11,37,4,0,4
5/25/2022,62,8,29,7,1,5
5/24/2022,50,19,30,6,0,5
5/23/2022,58,21,43,6,1,4
5/22/2022,76,24,36,6,0,3
5/21/2022,75,33,31,9,1,4
5/20/2022,82,37,45,9,1,3
5/19/2022,74,52,48,13,4,4
5/18/2022,58,44,74,11,4,3
5/17/2022,25,25,62,4,2,2
5/16/2022,29,6,36,2,0,3
5/15/2022,24,9,37,3,0,3
5/14/2022,16,7,36,2,0,4
5/13/2022,32,17,24,3,0,3
5/12/2022,52,12,23,5,0,3
5/11/2022,77,9,29,5,0,4
5/10/2022,72,21,29,4,0,4
5/9/2022,67,17,25,11,0,4
5/8/2022,66,26,27,16,1,4
5/7/2022,51,27,47,12,3,3
5/6/2022,81,28,40,8,1,2
5/5/2022,58,43,49,10,2,3
5/4/2022,64,37,59,5,0,2
5/3/2022,84,34,52,7,1,2
5/2/2022,75,23,31,5,1,4
5/1/2022,52,24,33,5,1,3
4/30/2022,68,28,51,4,0,1
4/29/2022,69,31,37,12,3,1
4/28/2022,67,22,39,7,1,1
4/27/2022,53,22,31,7,2,1
4/26/2022,42,21,24,4,1,1
4/25/2022,64,15,14,5,1,1
4/24/2022,39,25,25,8,1,1
4/23/2022,71,25,14,12,1,1
4/22/2022,116,32,38,23,4,2
4/21/2022,106,40,63,13,1,2
4/20/2022,97,50,60,16,1,3
