Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
69.00%,80,86,27.30%,22,27,15.20%,14,24,34.60%,6,9,33.70%,0,2,96.40%,6,7
17.60%,40,56,6.40%,11,19,56.10%,28,38,7.50%,0,2,94.10%,8,10,66.70%,4,6
69.20%,80,90,89.20%,55,67,16.90%,14,15,54.60%,6,13,80.30%,4,8,35.20%,2,3
49.20%,60,79,44.90%,33,35,25.40%,28,37,64.70%,6,13,81.50%,4,6,37.50%,2,4
93.10%,120,125,30.40%,22,35,10.50%,14,22,28.80%,6,7,3.20%,0,1,81.90%,4,5
89.30%,100,120,28.40%,22,29,65.90%,42,48,34.10%,6,8,12.70%,0,2,36.90%,2,3
94.10%,120,125,87.40%,44,47,78.50%,42,48,95.10%,18,22,63.90%,0,3,88.60%,6,8
8.10%,20,35,48.10%,33,46,5.20%,14,24,91.90%,18,21,39.40%,0,2,35.20%,2,4
62.30%,80,91,98.90%,77,87,40.20%,28,38,66.70%,6,9,43.60%,0,4,84.90%,4,5
67.50%,80,98,57.80%,33,42,41.50%,28,38,41.90%,6,8,14.20%,0,4,77.80%,4,6
23.70%,40,57,89.00%,55,68,68.70%,42,46,94.70%,18,26,92.10%,8,10,36.90%,2,3
84.60%,100,114,61.20%,33,42,65.90%,42,43,62.10%,6,13,73.70%,4,8,80.60%,4,6
74.80%,80,100,16.20%,11,22,18.80%,14,17,20.00%,0,7,78.30%,4,8,34.30%,2,3
22.30%,40,55,52.90%,33,44,83.90%,42,47,35.60%,6,12,42.40%,0,2,18.20%,2,3
30.10%,60,75,72.20%,44,48,29.20%,28,33,91.10%,18,20,68.30%,4,7,71.70%,4,6
60.60%,80,94,61.40%,33,39,35.80%,28,31,58.60%,6,8,7.60%,0,2,18.40%,2,4
96.70%,140,152,56.30%,33,36,88.00%,56,66,68.50%,6,14,44.10%,0,4,69.30%,4,6
27.60%,40,59,96.80%,66,72,36.00%,28,39,3.20%,0,1,60.10%,0,4,58.70%,4,6
52.00%,60,76,21.10%,22,33,9.30%,14,25,33.10%,6,9,61.40%,0,4,43.10%,2,3
97.90%,140,142,54.80%,33,47,99.70%,84,95,84.70%,12,13,4.90%,0,2,2.50%,0,2
49.60%,60,75,68.80%,33,43,83.10%,42,53,61.20%,6,9,0.00%,0,2,45.60%,2,3
58.50%,80,94,11.10%,11,17,52.10%,28,34,3.00%,0,2,0.60%,0,2,26.80%,2,4
22.00%,40,46,89.00%,55,62,64.40%,42,46,52.50%,6,13,6.10%,0,0,9.00%,0,1
43.30%,60,73,4.10%,11,20,9.80%,14,15,31.70%,6,8,53.90%,0,3,34.00%,2,4
8.40%,20,26,56.60%,33,44,58.90%,28,37,63.90%,6,11,85.70%,4,8,4.30%,0,2
71.90%,80,99,28.60%,22,29,15.10%,14,16,56.00%,6,14,63.20%,0,4,44.40%,2,3
