Vessel Name,Day of Arrival,Time of Arrival,Voyage Origin Port,Origin Port Country,Voyage Time Underway,Voyage Distance Travelled,Leg Time Underway,Leg Distance Travelled,Load Condition,Voyage Origin Port Atd,Vessel Type - Generic,Vessel Type - Detailed,Commercial Market,Commercial Size Class,Capacity - Dwt,Capacity - Teu,$ Value,Revenue per Ship
A HOUOU,7/9/2022,5:09,HO CHI MINH,VN,3d 19h 21m,1133,3d 19h 21m,1133,Laden,7/5/2022 9:48,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,16742,1028,$500,"$514,000"
A HOUOU,7/9/2022,22:39,HO CHI MINH,VN,4d 12h 51m,25,3m,1,Laden,7/5/2022 9:48,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,16742,1028,$500,"$514,000"
COSCO PRINCE RUPERT,7/9/2022,23:01,SHANGHAI,CN,2d 9h 8m,580,2m,0,Partially Laden,7/7/2022 13:53,Cargo,Container Ship,CONTAINER SHIPS,POST PANAMAX,102742,8411,$500,"$4,205,500"
COSCO VENICE,7/9/2022,15:32,NINGBO,CN,1d 5h 48m,481,1d 5h 48m,481,Laden,7/8/2022 9:44,Cargo,Container Ship,CONTAINER SHIPS,PANAMAX,49973,3977,$500,"$1,988,500"
DAIDO AMBITION,7/9/2022,1:00,GERALDTON,AU,10d 14h 38m,3310,10d 14h 38m,3310,Laden,6/28/2022 10:22,Cargo,Bulk Carrier,DRY BULK,HANDYSIZE,37982,2720,$500,"$1,360,000"
DONG FANG XING,7/9/2022,17:48,TAICHUNG,TW,13h 5m,138,13h 5m,138,In Ballast,7/9/2022 4:43,Cargo,Container Ship,CONTAINER SHIPS,SMALL FEEDER,6832,362,$500,"$181,000"
EVER FAIR,7/9/2022,0:08,COLON,PA,20d 8h 31m,9228,19d 1h 34m,9181,Partially Laden,6/18/2022 15:37,Cargo,Container Ship,CONTAINER SHIPS,NEW PANAMAX,135000,13805,$500,"$6,902,500"
GLORY TIANJIN,7/9/2022,3:05,TAICANG,CN,1d 17h 30m,613,1d 17h 30m,613,In Ballast,7/7/2022 9:35,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,12402,900,$500,"$450,000"
HUA HANG 6,7/9/2022,22:52,KAOHSIUNG,TW,12h 47m,165,12h 47m,165,Laden,7/9/2022 10:05,Cargo,Container Ship,CONTAINER SHIPS,SMALL FEEDER,8243,684,$500,"$342,000"
LI DA TONG 2 HAO,7/9/2022,16:36,XIAMEN,CN,15m,3,15m,3,Partially Laden,7/9/2022 16:21,Cargo,General Cargo,DRY BREAKBULK,HANDYSIZE,4142,289,$500,"$144,500"
LI DA TONG 2 HAO,7/9/2022,11:18,FUZHOU,CN,1d 8h 56m,173,2m,0,Partially Laden,7/8/2022 2:22,Cargo,General Cargo,DRY BREAKBULK,HANDYSIZE,4142,289,$500,"$144,500"
MOUNT ULURU,7/9/2022,0:57,KEMEN,CN,1d 16h 34m,248,1d 16h 34m,248,Partially Laden,7/7/2022 8:23,Cargo,Bulk Carrier,DRY BULK,CAPESIZE,181513,19000,$500,"$9,500,000"
MSC VANDYA,7/9/2022,23:19,YANTIAN,CN,18h 12m,305,2m,0,Partially Laden,7/9/2022 5:07,Cargo,Container Ship,CONTAINER SHIPS,NEW PANAMAX,154185,13805,$500,"$6,902,500"
NORTHERN DEFENDER,7/9/2022,23:04,YOKKAICHI,JP,4d 11h 2m,1232,4d 11h 2m,1232,In Ballast,7/5/2022 12:02,Cargo,Container Ship,CONTAINER SHIPS,PANAMAX,42121,3433,$500,"$1,716,500"
ORTOLAN EPSILON,7/9/2022,10:33,QINZHOU,CN,2d 5h 6m,709,2d 5h 6m,709,Partially Laden,7/7/2022 5:27,Cargo,Container Ship,CONTAINER SHIPS,SMALL FEEDER,11814,900,$500,"$450,000"
SITC SHEKOU,7/9/2022,1:08,NINGBO,CN,1d 9h 47m,482,1d 9h 47m,482,Laden,7/7/2022 15:21,Cargo,Container Ship,CONTAINER SHIPS,FEEDERMAX,35336,2720,$500,"$1,360,000"
SWAN LAKE,7/9/2022,6:19,JIANGYIN,CN,1d 5h 35m,116,3m,0,Partially Laden,7/8/2022 0:44,Cargo,Container Ship,CONTAINER SHIPS,SMALL FEEDER,7262,561,$500,"$280,500"
TS OSAKA,7/9/2022,3:47,CHIWAN,CN,21h 18m,319,20h 48m,316,Partially Laden,7/8/2022 6:29,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,21475,2388,$500,"$1,194,000"
UNI ARDENT,7/9/2022,13:07,TAICHUNG,TW,20h 46m,138,20h 46m,138,In Ballast,7/8/2022 16:21,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,15511,1028,$500,"$514,000"
VICTORY VOYAGER,7/9/2022,9:56,SHEKOU,CN,1d 6h 18m,319,1d 6h 18m,319,Laden,7/8/2022 3:38,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,15231,1028,$500,"$514,000"
XIN QIN ZHOU,7/9/2022,2:36,SHANGHAI,CN,2d 5h 5m,596,2d 5h 5m,596,Partially Laden,7/6/2022 21:31,Cargo,Container Ship,CONTAINER SHIPS,PANAMAX,66904,5224,$500,"$2,612,000"
XIN QUN DAO,7/9/2022,15:40,QUANZHOU,CN,15h 34m,59,15h 34m,59,Laden,7/9/2022 0:06,Cargo,Container Ship,CONTAINER SHIPS,SMALL FEEDER,10800,900,$500,"$450,000"
XIN YUAN 19,7/9/2022,13:22,JIANGYIN,CN,17h 39m,115,4m,1,Laden,7/8/2022 19:43,Cargo,General Cargo,DRY BREAKBULK,HANDYSIZE,2910,289,$500,"$144,500"
XING SHUN HAI,7/9/2022,0:12,XIAMEN,CN,11h 56m,46,11h 56m,46,Laden,7/8/2022 12:16,Cargo,Bulk Carrier,DRY BULK,POST PANAMAX,81824,6674,$500,"$3,337,000"
ZHONG GU NAN HAI,7/9/2022,2:25,NANSHA,CN,1d 1h 14m,356,1d 1h 14m,356,In Ballast,7/8/2022 1:11,Cargo,Container Ship,CONTAINER SHIPS,FEEDER,24123,2388,$500,"$1,194,000"
ADDISON,7/8/2022,3:13,LAEM CHABANG,TH,5d 3h 59m,1687,5d 3h 59m,1687,Laden,7/2/2022 23:14,Cargo,Container Ship,CONTAINER SHIPS,FEEDERMAX,39345,2720,$500,"$1,360,000"
CAP JACKSON,7/8/2022,7:50,LOS ANGELES,US,16d 21h 1m,6215,16d 21h 1m,6215,N/A,6/21/2022 10:49,Cargo,Container Ship,CONTAINER SHIPS,PANAMAX,59336,4806,$500,"$2,403,000"
