Date,Time at Berth,TEU,Crane KW,Port KW - added shore power,
7/27/2022,8.4,3353,1864.550675,11.86455068,MW
7/26/2022,24,12492,2431.311799,12.4313118,MW
7/25/2022,12.6,6823,2529.442143,12.52944214,MW
7/24/2022,36.45,31971,4097.119317,14.09711932,MW
7/23/2022,9.45,4777,2361.257534,12.36125753,MW
7/22/2022,31,13492,2032.986818,12.03298682,MW
7/21/2022,14.8,3500,1104.653958,11.10465396,MW
7/20/2022,,,,,MW
7/19/2022,22.3,10000,2094.667338,12.09466734,MW
7/18/2022,30.2,13322,2060.546455,12.06054646,MW
7/17/2022,19.2,13050,3174.89383,13.17489383,MW
7/16/2022,20.9,22000,4916.955962,14.91695596,MW
7/15/2022,,,,,MW
7/14/2022,23.5,13100,2603.894338,12.60389434,MW
7/13/2022,13.7,13050,4449.486243,14.44948624,MW
7/12/2022,24.8,10230,1926.832117,11.92683212,MW
7/11/2022,,,,,MW
7/10/2022,11.5,2524,1025.206696,11.0252067,MW
7/9/2022,,,,,MW
7/8/2022,25.63333333,6137,1118.332541,11.11833254,MW
7/7/2022,44.26666667,9459,998.1328039,10.9981328,MW
7/6/2022,16.65,3938,1104.794231,11.10479423,MW
7/5/2022,28.25,10427,1724.093622,11.72409362,MW
7/4/2022,31.53333333,13504,2000.379851,12.00037985,MW
7/3/2022,24,6899,1342.748968,11.34274897,MW
7/2/2022,40.86666667,13571,1551.181294,11.55118129,MW
7/1/2022,40.4,28890,3340.304823,13.34030482,MW
6/30/2022,38.05,12099,1485.30191,11.48530191,MW
6/29/2022,31.5,13572,2012.580317,12.01258032,MW
6/28/2022,24.15,5836,1128.802784,11.12880278,MW
6/27/2022,38.63333333,9252,1118.647784,11.11864778,MW
6/26/2022,33.96666667,8016,1102.363191,11.10236319,MW
6/25/2022,24.9,5824,1092.551564,11.09255156,MW
6/24/2022,9.5,5018,2467.328502,12.4673285,MW
6/23/2022,6.683333333,1473,1029.50758,11.02950758,MW
6/22/2022,26.95,6345,1099.746987,11.09974699,MW
6/21/2022,24.61666667,8707,1652.187087,11.65218709,MW
6/20/2022,42.35,16975,1872.303685,11.87230369,MW
6/19/2022,20.7,8440,1904.548449,11.90454845,MW
6/18/2022,,,,,MW
6/17/2022,22.7,13050,2685.372755,12.68537275,MW
6/16/2022,22.6,22000,4547.096442,14.54709644,MW
6/15/2022,,,,,MW
6/14/2022,,,,,MW
6/13/2022,,,,,MW
6/12/2022,40.3,5374,622.8916941,10.62289169,MW
6/11/2022,,,,,MW
6/10/2022,7.1,15629,10282.35908,20.28235908,MW
6/9/2022,24,7664,1491.64054,11.49164054,MW
6/8/2022,34.3,8856,1206.04472,11.20604472,MW
6/7/2022,38.05,7580,930.5387616,10.93053876,MW
6/6/2022,17.35,2832,762.4540818,10.76245408,MW
6/5/2022,34.11666667,18844,2580.039929,12.58003993,MW
6/4/2022,21.45,9794,2132.812744,12.13281274,MW
6/3/2022,55.78333333,14811,1240.223179,11.24022318,MW
6/2/2022,23.95,10421,2032.4684,12.0324684,MW
6/1/2022,10.31666667,9423,4266.480022,14.26648002,MW
5/31/2022,15.58333333,14233,4266.345401,14.2663454,MW
5/30/2022,35.51666667,17047,2242.0004,12.2420004,MW
5/29/2022,9.983333333,2545,1190.781664,11.19078166,MW
5/28/2022,32.88333333,8655,1229.450821,11.22945082,MW
5/27/2022,15.31666667,4001,1220.180877,11.22018088,MW
5/26/2022,21.3,13750,3015.386725,13.01538673,MW
5/25/2022,3.4,1731,2378.143597,12.3781436,MW
5/24/2022,24,12218,2377.983314,12.37798331,MW
5/23/2022,17.58333333,7333,1948.051346,11.94805135,MW
5/22/2022,44.41666667,29566,3109.327969,13.10932797,MW
5/21/2022,,,,,MW
5/20/2022,44.5,10323,1083.592125,11.08359213,MW
5/19/2022,24,2403,467.6947049,10.4676947,MW
5/18/2022,24,2403,467.6947049,10.4676947,MW
5/17/2022,31.41666667,14715,2187.86281,12.18786281,MW
5/16/2022,26.86666667,4590,798.0292731,10.79802927,MW
5/15/2022,30.71666667,5924,900.8674366,10.90086744,MW
5/14/2022,46.88333333,15502,1544.504488,11.54450449,MW
5/13/2022,46.43333333,13089,1316.729392,11.31672939,MW
5/12/2022,43.28333333,5668,611.6867402,10.61168674,MW
5/11/2022,13.1,1800,641.8316561,10.64183166,MW
5/10/2022,30.43333333,15498,2378.734972,12.37873497,MW
5/9/2022,12.58333333,3064,1137.399371,11.13739937,MW
5/8/2022,24,18834,3665.652131,13.66565213,MW
5/7/2022,14.78333333,7065,2232.33681,12.23233681,MW
5/6/2022,,,,,MW
5/5/2022,16.5,6750,1910.907885,11.91090789,MW
5/4/2022,,,,,MW
5/3/2022,,,,,MW
5/2/2022,22.6,2662,550.1986695,10.55019867,MW
5/1/2022,29.1,6338,1017.370568,11.01737057,MW
4/30/2022,31.83333333,31866,4675.901552,14.67590155,MW
4/29/2022,0.7666666667,408,2485.84191,12.48584191,MW
4/28/2022,40.71666667,35618,4086.177583,14.08617758,MW
4/27/2022,24,6258,1217.991454,11.21799145,MW
4/26/2022,38.61666667,30739,3718.218226,13.71821823,MW
4/25/2022,14.76666667,6643,2101.366018,12.10136602,MW
4/24/2022,32.41666667,13043,1879.442584,11.87944258,MW
4/23/2022,18.98333333,7031,1730.073477,11.73007348,MW
4/22/2022,25.21666667,8129,1505.807201,11.5058072,MW
4/21/2022,38.45,13005,1579.915778,11.57991578,MW
4/20/2022,40.15,14087,1638.901636,11.63890164,MW
4/19/2022,24,3815,742.5115685,10.74251157,MW
4/18/2022,0.4833333333,77,744.1558523,10.74415585,MW
4/17/2022,28.86666667,13588,2198.765048,12.19876505,MW
4/16/2022,11.13333333,5812,2438.486286,12.43848629,MW
4/15/2022,21.9,5041,1075.208048,11.07520805,MW
4/14/2022,,,,,MW
4/13/2022,,,,,MW
4/12/2022,17.43333333,6977,1869.425716,11.86942572,MW
4/11/2022,38.1,7789,954.9412464,10.95494125,MW
4/10/2022,30.5,11071,1695.535688,11.69553569,MW
4/9/2022,24,10120,1969.650609,11.96965061,MW
4/8/2022,36.95,26392,3336.397474,13.33639747,MW
4/7/2022,61.41666667,12033,915.1822719,10.91518227,MW
4/6/2022,64.78333334,9538,687.7236377,10.68772364,MW
4/5/2022,66.63333333,17342,1215.703218,11.21570322,MW
4/4/2022,34.75,7223,970.9183961,10.9709184,MW
4/3/2022,17,7000,1923.397479,11.92339748,MW
4/2/2022,,,,,MW
4/1/2022,,,,,MW
3/31/2022,,,,,MW
