Percentages,Lower Bond,pm25,Percentages,Lower Bond,pm10,Percentages,Lower Bond,o3,Percentages,Lower Bond,no2,Percentages,Lower Bond,so2,Percentages,Lower Bond,co
97.70%,130,136,94.60%,60,61,78.80%,35,40,14.60%,0,5,29.70%,0,0,86.80%,4,6
67.40%,70,76,76.30%,40,42,29.20%,23,31,30.90%,6,14,18.00%,0,4,4.40%,0,2
85.00%,90,109,69.60%,40,51,75.60%,35,45,49.40%,6,7,50.10%,0,0,80.40%,4,5
29.50%,50,59,72.10%,40,53,40.00%,23,27,94.30%,18,19,38.60%,0,0,28.60%,2,3
3.10%,10,21,39.70%,20,30,44.80%,23,25,97.20%,24,28,74.10%,0,2,81.60%,4,6
35.40%,50,67,44.40%,30,43,48.90%,23,31,69.20%,6,9,39.80%,0,4,97.60%,6,8
93.60%,110,114,94.60%,60,67,76.30%,35,43,32.10%,6,11,56.20%,0,4,29.00%,2,3
57.60%,70,75,30.90%,20,32,96.80%,71,74,42.20%,6,12,97.30%,8,12,5.10%,0,2
92.20%,110,127,28.30%,20,26,19.60%,23,25,94.70%,18,19,22.40%,0,1,58.50%,4,6
64.40%,70,82,73.30%,40,51,71.60%,35,39,24.60%,6,11,94.60%,4,6,85.60%,4,5
39.60%,50,67,15.20%,10,24,54.40%,35,44,57.00%,6,11,6.40%,0,2,67.10%,4,5
49.30%,50,58,70.80%,40,49,40.00%,23,32,42.40%,6,12,63.10%,0,2,15.80%,2,4
16.00%,30,32,22.20%,20,34,62.80%,35,37,26.70%,6,12,18.40%,0,0,5.30%,0,0
3.00%,10,27,45.30%,30,37,57.20%,35,40,49.80%,6,8,30.50%,0,0,3.50%,0,1
71.00%,70,76,79.70%,40,49,3.20%,12,15,16.90%,0,4,5.20%,0,2,21.20%,2,4
56.10%,70,81,66.60%,40,43,95.20%,59,64,25.50%,6,14,19.80%,0,4,39.10%,2,4
44.90%,50,51,17.20%,20,28,47.30%,23,26,73.80%,12,19,61.10%,0,0,2.40%,0,2
40.70%,50,58,61.20%,30,32,73.50%,35,42,75.40%,12,17,32.70%,0,3,90.90%,6,8
77.90%,70,71,54.30%,30,36,17.00%,12,15,2.90%,0,0,56.30%,0,3,36.20%,2,3
85.00%,90,101,19.50%,20,30,52.90%,35,42,96.50%,18,22,46.30%,0,1,66.20%,4,6
70.30%,70,73,37.10%,20,28,19.20%,23,24,22.00%,0,5,4.10%,0,1,70.10%,4,5
38.00%,50,54,45.50%,30,31,69.10%,35,46,87.10%,12,15,35.40%,0,3,56.40%,4,5
43.10%,50,64,76.60%,40,43,74.40%,35,46,90.90%,18,22,75.90%,0,0,14.90%,2,4
11.80%,30,42,93.70%,50,55,35.00%,23,32,95.40%,18,20,74.50%,0,0,68.80%,4,5
83.20%,90,98,76.80%,40,45,1.60%,0,11,89.60%,12,16,85.60%,4,8,37.30%,2,4
68.50%,70,87,62.10%,30,44,15.30%,12,13,18.70%,0,7,17.10%,0,3,57.60%,4,5
8.50%,30,50,65.50%,30,40,22.40%,23,24,83.20%,12,13,94.50%,4,6,84.10%,4,6
94.80%,110,119,64.00%,30,41,86.70%,47,54,75.50%,12,13,8.10%,0,3,8.40%,0,1
40.80%,50,62,44.50%,30,34,44.00%,23,25,80.10%,12,18,72.40%,0,3,35.40%,2,4
12.80%,30,38,67.60%,40,46,24.60%,23,33,28.10%,6,9,77.00%,4,7,75.10%,4,5
81.00%,90,95,44.20%,30,33,69.90%,35,42,82.20%,12,18,92.50%,4,6,90.60%,6,7
23.80%,50,52,60.20%,30,38,34.20%,23,27,85.20%,12,14,19.10%,0,2,3.70%,0,0
5.90%,30,35,97.60%,60,62,56.70%,35,44,83.70%,12,13,26.00%,0,0,6.20%,0,1
74.80%,70,81,64.10%,30,37,19.80%,23,27,54.90%,6,8,6.60%,0,3,98.50%,8,9
85.30%,90,92,59.80%,30,41,4.30%,12,15,75.40%,12,17,43.60%,0,0,7.20%,0,1
49.00%,50,66,79.10%,40,47,44.70%,23,27,73.50%,12,13,32.00%,0,0,49.50%,2,3
66.90%,70,75,13.20%,10,12,70.90%,35,37,6.90%,0,3,56.80%,0,3,8.10%,0,2
87.00%,90,93,79.80%,40,43,86.50%,47,53,19.90%,0,8,71.20%,0,4,95.20%,6,8
63.50%,70,80,75.10%,40,44,57.30%,35,39,74.30%,12,15,73.30%,0,3,58.00%,4,5
57.20%,70,85,4.00%,10,12,49.70%,23,24,52.90%,6,9,29.90%,0,0,43.80%,2,3
26.10%,50,70,87.50%,50,53,10.30%,12,17,92.40%,18,24,62.80%,0,4,96.40%,6,8
61.90%,70,72,94.50%,60,63,59.20%,35,39,17.40%,0,6,87.00%,4,8,19.60%,2,3
7.20%,30,46,44.00%,30,40,57.40%,35,45,57.10%,6,7,72.00%,0,1,57.70%,4,5
25.50%,50,53,13.20%,10,15,52.90%,35,42,41.20%,6,14,68.90%,0,4,16.00%,2,3
72.20%,70,78,7.30%,10,21,65.20%,35,37,61.10%,6,14,16.60%,0,2,52.40%,2,4
96.30%,110,123,52.40%,30,40,8.50%,12,21,65.90%,6,12,36.50%,0,0,35.90%,2,4
6.70%,30,47,76.60%,40,44,24.90%,23,33,34.50%,6,8,44.50%,0,0,96.80%,6,7
65.60%,70,79,80.80%,40,54,21.00%,23,27,76.80%,12,19,65.90%,0,1,64.80%,4,6
36.90%,50,67,3.50%,10,17,13.80%,12,18,91.50%,18,26,96.10%,8,9,37.80%,2,3
80.80%,90,110,48.00%,30,36,72.30%,35,39,29.60%,6,11,94.40%,4,6,68.20%,4,5
97.10%,130,148,47.70%,30,40,83.60%,47,53,72.00%,12,17,15.70%,0,1,91.70%,6,8
87.90%,90,98,76.30%,40,48,71.00%,35,43,44.60%,6,8,34.30%,0,1,7.10%,0,1
74.00%,70,77,43.60%,30,44,47.00%,23,29,29.40%,6,13,31.90%,0,1,52.10%,2,4
78.60%,90,104,50.50%,30,37,41.40%,23,26,97.40%,24,26,44.50%,0,1,63.70%,4,6
84.90%,90,103,99.30%,70,80,85.70%,47,48,74.70%,12,19,59.70%,0,0,66.20%,4,6
56.10%,70,80,43.10%,30,32,3.80%,12,14,78.90%,12,14,75.70%,0,2,14.50%,2,3
